,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,f1_Not_offensive,f1_Offensive_Untargeted,f1_Offensive_Targeted_Individual,f1_Offensive_Targeted_Group,f1_Offensive_Targeted_Other,f1_not-Tamil
muril,0.7114858705560619,0.731003883183564,0.44047470411205875,0.7636916276148379,0.7114858705560619,0.8632421614409607,0.38333333333333336,0.22950819672131148,0.32061068702290074,0.0,0.8461538461538461
xlm-roberta,0.7019143117593437,0.7275233902031292,0.47425694865683354,0.7791034499445074,0.7019143117593437,0.8348306841741534,0.4110169491525424,0.4212962962962963,0.36164383561643837,0.0,0.8167539267015707
mbert,0.7288058340929808,0.7505324331114669,0.4972205737444227,0.7839694037291712,0.7288058340929808,0.8627844712182061,0.4052863436123348,0.44510385756676557,0.36,0.0821917808219178,0.8279569892473119
